UC_Schritt;Schritt_Text;RA_Klasse;RA_Typ;Stereotype;Beschreibung;Control_Flow_Source;Control_Flow_Type;Control_Flow_Rule;Data_Flow_Entity;Data_Flow_Type;Data_Flow_Description
B6b;The system ignites second stage for orbital insertion;SecondstageManager;Controller;<<controller>>;Controls ignites operation in B6b;;;;;;
B6b;The system ignites second stage for orbital insertion;SecondStage;Entity;<<entity>>;Domain entity: secondstage;;;;;;
B7a;The system deploys satellite at target orbital position;SatelliteManager;Controller;<<controller>>;Controls deploys operation in B7a;;;;;;
B7a;The system deploys satellite at target orbital position;Orbitalposition;Entity;<<entity>>;Domain entity: orbitalposition;;;;;;
B7a;The system deploys satellite at target orbital position;Satellite;Entity;<<entity>>;Domain entity: satellite (also required as precondition);;;;;;
B7a;The system deploys satellite at target orbital position;Target;Entity;<<entity>>;Domain entity: target;;;;;;
B7b;The system confirms satellite deployment with telemetry data;SatellitedeploymentManager;Controller;<<controller>>;Controls confirms operation in B7b;;;;;;
B7b;The system confirms satellite deployment with telemetry data;SatelliteDeployment;Entity;<<entity>>;Domain entity: satellitedeployment;;;;;;
B7b;The system confirms satellite deployment with telemetry data;TelemetryData;Entity;<<entity>>;Domain entity: telemetrydata;;;;;;
B8;The system transmits mission success report to mission control;ReportManager;Controller;<<controller>>;Controls transmits operation in B8;;;;;;
B8;The system transmits mission success report to mission control;Report;Entity;<<entity>>;Domain entity: report;;;;;;
B8;The system transmits mission success report to mission control;Successreport;Entity;<<entity>>;Domain entity: successreport;;;;;;
B8;The system transmits mission success report to mission control;MissionControlInputBoundary;Boundary;<<boundary>>;Boundary for system to transmit data to Mission Control;;;;;;
B9;End UC;;;;Keine RA-Klassen generiert;;;;;;
A1;at B2a Critical subsystem fails validation;ExternalTrigger;Actor;<<actor>>;External trigger source;;;;;;
A1;at B2a Critical subsystem fails validation;A1ConditionManager;Controller;<<controller>>;Controls fails operation in A1;;;;;;
A1;at B2a Critical subsystem fails validation;Validation;Entity;<<entity>>;Domain entity: validation;;;;;;
A1.1;The system generates failure report with diagnostic data;FailurereportManager;Controller;<<controller>>;Controls generates operation in A1.1;;;;;;
A1.1;The system generates failure report with diagnostic data;DiagnosticData;Entity;<<entity>>;Domain entity: diagnosticdata;;;;;;
A1.1;The system generates failure report with diagnostic data;FailureReport;Entity;<<entity>>;Domain entity: failurereport;;;;;;
A1.2;The system activates abort sequence with safety protocols;AbortsequenceManager;Controller;<<controller>>;Controls activates operation in A1.2;;;;;;
A1.2;The system activates abort sequence with safety protocols;AbortSequence;Entity;<<entity>>;Domain entity: abortsequence;;;;;;
A1.2;The system activates abort sequence with safety protocols;SafetyProtocols;Entity;<<entity>>;Domain entity: safetyprotocols;;;;;;
A1.3;The system transmits abort notification to mission control;AbortnotificationManager;Controller;<<controller>>;Controls transmits operation in A1.3;;;;;;
A1.3;The system transmits abort notification to mission control;AbortNotification;Entity;<<entity>>;Domain entity: abortnotification;;;;;;
A1.3;The system transmits abort notification to mission control;MissionControl;Entity;<<entity>>;Domain entity: missioncontrol;;;;;;
A1.4;End UC;;;;Keine RA-Klassen generiert;;;;;;
A3;at B6a Stage separation failure detected;ExternalTrigger;Actor;<<actor>>;External trigger source;;;;;;
A3;at B6a Stage separation failure detected;A3ConditionManager;Controller;<<controller>>;Controls detected operation in A3;;;;;;
A3.1;The system attempts secondary separation mechanism;MechanismManager;Controller;<<controller>>;Controls attempts operation in A3.1;;;;;;
A3.1;The system attempts secondary separation mechanism;Mechanism;Entity;<<entity>>;Domain entity: mechanism;;;;;;
A3.1;The system attempts secondary separation mechanism;Separationmechanism;Entity;<<entity>>;Domain entity: separationmechanism;;;;;;
A3.2;If separation succeeds, system continues with second stage ignition;ContinueManager;Controller;<<controller>>;Controls continues operation in A3.2;;;;;;
A3.2;If separation succeeds, system continues with second stage ignition;Ignition;Entity;<<entity>>;Domain entity: ignition;;;;;;
A3.2;If separation succeeds, system continues with second stage ignition;Stageignition;Entity;<<entity>>;Domain entity: stageignition;;;;;;
A3.3;If separation fails, system executes mission abort procedures;ProceduresManager;Controller;<<controller>>;Controls executes operation in A3.3;;;;;;
A3.3;If separation fails, system executes mission abort procedures;Abortprocedures;Entity;<<entity>>;Domain entity: abortprocedures;;;;;;
A3.3;If separation fails, system executes mission abort procedures;Procedures;Entity;<<entity>>;Domain entity: procedures;;;;;;
A3.4;The system transmits separation status to mission control;SeparationstatusManager;Controller;<<controller>>;Controls transmits operation in A3.4;;;;;;
A3.4;The system transmits separation status to mission control;MissionControl;Entity;<<entity>>;Domain entity: missioncontrol;;;;;;
A3.4;The system transmits separation status to mission control;SeparationStatus;Entity;<<entity>>;Domain entity: separationstatus;;;;;;
A3.5;End UC;;;;Keine RA-Klassen generiert;;;;;;
E1;at B5a Satellite requires orbital adjustment;ExternalTrigger;Actor;<<actor>>;External trigger source;;;;;;
E1;at B5a Satellite requires orbital adjustment;TriggerManager;Controller;<<controller>>;Controls requires operation in E1;;;;;;
E1;at B5a Satellite requires orbital adjustment;OrbitalAdjustment;Entity;<<entity>>;Domain entity: orbitaladjustment;;;;;;
E1.1;The system calculates orbital correction parameters;ParametersManager;Controller;<<controller>>;Controls calculates operation in E1.1;;;;;;
E1.1;The system calculates orbital correction parameters;Correctionparameters;Entity;<<entity>>;Domain entity: correctionparameters;;;;;;
E1.1;The system calculates orbital correction parameters;Parameters;Entity;<<entity>>;Domain entity: parameters;;;;;;
E1.2;The system executes satellite thruster burn for final positioning;BurnManager;Controller;<<controller>>;Controls executes operation in E1.2;;;;;;
E1.2;The system executes satellite thruster burn for final positioning;Burn;Entity;<<entity>>;Domain entity: burn;;;;;;
E1.3;The system verifies satellite orbital parameters against target;OrbitalparametersManager;Controller;<<controller>>;Controls verifies operation in E1.3;;;;;;
E1.3;The system verifies satellite orbital parameters against target;Orbitalparameters;Entity;<<entity>>;Domain entity: orbitalparameters;;;;;;
E1.3;The system verifies satellite orbital parameters against target;Satellite;Entity;<<entity>>;Domain entity: satellite (also required as precondition);;;;;;
E1.3;The system verifies satellite orbital parameters against target;Target;Entity;<<entity>>;Domain entity: target;;;;;;
E1.4;Continue with B5b;ContinueManager;Controller;<<controller>>;Controls continues operation in A3.2;;;;;;
E1.4;Continue with B5b;B5b;Entity;<<entity>>;Domain entity: b5b;;;;;;
E2;at any time Ground control requests telemetry data;Timer;Actor;<<actor>>;Time-based trigger;;;;;;
E2;at any time Ground control requests telemetry data;HMIUserInputBoundary;Boundary;<<boundary>>;HMI boundary for general user input;;;;;;
E2;at any time Ground control requests telemetry data;HMIController;Controller;<<controller>>;Human-Machine Interface controller for user interactions;;;;;;
E2;at any time Ground control requests telemetry data;TimeManager;Controller;<<controller>>;Controls opens operation in B1;;;;;;
E2;at any time Ground control requests telemetry data;TelemetryData;Entity;<<entity>>;Domain entity: telemetrydata;;;;;;
E2.1;The system packages current flight data into telemetry stream;DataManager;Controller;<<controller>>;Controls packages operation in E2.1;;;;;;
E2.1;The system packages current flight data into telemetry stream;Data;Entity;<<entity>>;Control data: data;;;;;;
E2.1;The system packages current flight data into telemetry stream;Flightdata;Entity;<<entity>>;Domain entity: flightdata;;;;;;
E2.1;The system packages current flight data into telemetry stream;TelemetryStream;Entity;<<entity>>;Domain entity: telemetrystream;;;;;;
E2.2;The system transmits real-time telemetry to ground stations;TimetelemetryManager;Controller;<<controller>>;Controls transmits operation in E2.2;;;;;;
E2.2;The system transmits real-time telemetry to ground stations;GroundStations;Entity;<<entity>>;Domain entity: groundstations;;;;;;
E2.2;The system transmits real-time telemetry to ground stations;Real;Entity;<<entity>>;Domain entity: real;;;;;;
E2.2;The system transmits real-time telemetry to ground stations;Timetelemetry;Entity;<<entity>>;Domain entity: timetelemetry;;;;;;
E2.3;Continue with current flow;ContinueManager;Controller;<<controller>>;Controls continues operation in A3.2;;;;;;
E2.3;Continue with current flow;CurrentFlow;Entity;<<entity>>;Domain entity: currentflow;;;;;;
