UC_Schritt;Schritt_Text;RA_Klasse;RA_Typ;Stereotype;Beschreibung;Control_Flow_Source;Control_Flow_Type;Control_Flow_Rule;Data_Flow_Entity;Data_Flow_Type;Data_Flow_Description
B4;B4 The system outputs a message to user;MessageManager;Controller;<<controller>>;Manages output function;CoffeeManager;parallel_end;Rule 4 - Parallel Flow;;;
B4;B4 The system outputs a message to user;MessageManager;Controller;<<controller>>;Manages output function;;;;Message;provide;MessageManager provides Message as result
B4;B4 The system outputs a message to user;Message;Entity;<<entity>>;Domain entity: message;;;;;;
B5;B5 The system presents cup to user;CupManager;Controller;<<controller>>;Manages present function;MessageManager;sequential;Rule 2;;;
B5;B5 The system presents cup to user;CupManager;Controller;<<controller>>;Manages present function;;;;Cup;provide;CupManager provides Cup as result
B5;B5 The system presents cup to user;Cup;Entity;<<entity>>;Domain entity: cup;;;;;;
A1;A1 at B2a Water heater has too little water;TooLittleWaterManager;Controller;<<controller>>;Manages have function;;;;B2aWaterHeater;use;TooLittleWaterManager interacts with B2aWaterHeater
A1;A1 at B2a Water heater has too little water;TooLittleWaterManager;Controller;<<controller>>;Manages have function;;;;TooLittleWater;provide;TooLittleWaterManager provides TooLittleWater as result
A1;A1 at B2a Water heater has too little water;TooLittleWater;Entity;<<entity>>;Domain entity: toolittlewater;;;;;;
A1;A1 at B2a Water heater has too little water;B2aWaterHeater;Entity;<<entity>>;Domain entity: b2awaterheater;;;;;;
A1.1;A1.1 The system switches off water heater;WaterHeaterManager;Controller;<<controller>>;Manages switch function;TooLittleWaterManager;sequential;Rule 2;;;
A1.1;A1.1 The system switches off water heater;WaterHeaterManager;Controller;<<controller>>;Manages switch function;;;;WaterHeater;provide;WaterHeaterManager provides WaterHeater as result
A1.1;A1.1 The system switches off water heater;WaterHeater;Entity;<<entity>>;Domain entity: waterheater;;;;;;
A1.2;A1.2 The system outputs an error message to user;ErrorMessageManager;Controller;<<controller>>;Manages output function;WaterHeaterManager;sequential;Rule 2;;;
A1.2;A1.2 The system outputs an error message to user;ErrorMessageManager;Controller;<<controller>>;Manages output function;;;;ErrorMessage;provide;ErrorMessageManager provides ErrorMessage as result
A1.2;A1.2 The system outputs an error message to user;ErrorMessage;Entity;<<entity>>;Domain entity: errormessage;;;;;;
A2;A2 at B3b Too little milk;LittleMilk;Entity;<<entity>>;Domain entity: littlemilk;;;;;;
A2.1;A2.1 The system stops milk addition;MilkAdditionManager;Controller;<<controller>>;Manages stop function;;;;MilkAddition;provide;MilkAdditionManager provides MilkAddition as result
A2.1;A2.1 The system stops milk addition;MilkAddition;Entity;<<entity>>;Domain entity: milkaddition;;;;;;
A2.2;A2.2 The system outputs an error message to user;ErrorMessageManager;Controller;<<controller>>;Manages output function;MilkAdditionManager;sequential;Rule 2;;;
A2.2;A2.2 The system outputs an error message to user;ErrorMessageManager;Controller;<<controller>>;Manages output function;;;;ErrorMessage;provide;ErrorMessageManager provides ErrorMessage as result
A2.2;A2.2 The system outputs an error message to user;ErrorMessage;Entity;<<entity>>;Domain entity: errormessage;;;;;;
A3;A3 at any time Overheat detected;DetectManager;Controller;<<controller>>;Manages detect function;;;;;;
A3.1;A3.1 The system stops all actions;ActionsManager;Controller;<<controller>>;Manages stop function;DetectManager;sequential;Rule 2;;;
A3.1;A3.1 The system stops all actions;ActionsManager;Controller;<<controller>>;Manages stop function;;;;AllActions;provide;ActionsManager provides AllActions as result
A3.1;A3.1 The system stops all actions;AllActions;Entity;<<entity>>;Domain entity: allactions;;;;;;
A3.2;A3.2 The system switch of itself;Switch;Entity;<<entity>>;Domain entity: switch;;;;;;
E1;E1 B3-B5 (trigger) User wants sugar in coffee;SugarManager;Controller;<<controller>>;Manages want function;;;;Sugar;provide;SugarManager provides Sugar as result
E1;E1 B3-B5 (trigger) User wants sugar in coffee;Sugar;Entity;<<entity>>;Domain entity: sugar;;;;;;
E1.1;E1.1 The system adds sugar to the cup;SugarManager;Controller;<<controller>>;Manages add function;SugarManager;sequential;Rule 2;;;
E1.1;E1.1 The system adds sugar to the cup;SugarManager;Controller;<<controller>>;Manages add function;;;;Cup;provide;SugarManager provides output to Cup
E1.1;E1.1 The system adds sugar to the cup;SugarManager;Controller;<<controller>>;Manages add function;;;;Sugar;provide;SugarManager provides Sugar as result
E1.1;E1.1 The system adds sugar to the cup;Sugar;Entity;<<entity>>;Domain entity: sugar;;;;;;
E1.1;E1.1 The system adds sugar to the cup;Cup;Entity;<<entity>>;Domain entity: cup;;;;;;
