UC_Schritt;Schritt_Text;RA_Klasse;RA_Typ;Stereotype;Beschreibung;Control_Flow_Source;Control_Flow_Type;Control_Flow_Rule;Data_Flow_Entity;Data_Flow_Type;Data_Flow_Description
B2d;B2d The system retrieves cup from storage container and places it under the filter;Cup;Entity;<<entity>>;Domain entity: cup;;;;;;
B2d;B2d The system retrieves cup from storage container and places it under the filter;StorageContainer;Entity;<<entity>>;Domain entity: storagecontainer;;;;;;
P1_END;Parallel flow merge for B2a;P1_END;ControlFlowNode;<<merge>>;Merge node for parallel steps B2a;;;;;;
P2_START;Parallel flow distribution for B3a;P2_START;ControlFlowNode;<<distribution>>;Distribution node for parallel steps B3a;;;;;;
B3a;B3a The system begins brewing coffee with the user defined amount of water into the cup;CoffeeLiquidManager;Controller;<<controller>>;Manages coffee (liquid state): brew() in B3a;P3_START;parallel;Rule 3: parallel -> parallel (same step number);;;
B3a;B3a The system begins brewing coffee with the user defined amount of water into the cup;CoffeeLiquidManager;Controller;<<controller>>;Manages coffee (liquid state): brew() in B3a;;;;UserDefinedAmountOfWater;use;CoffeeLiquidManager uses UserDefinedAmountOfWater as parameter
B3a;B3a The system begins brewing coffee with the user defined amount of water into the cup;CoffeeLiquidManager;Controller;<<controller>>;Manages coffee (liquid state): brew() in B3a;;;;Cup;use;CoffeeLiquidManager uses Cup as target
B3a;B3a The system begins brewing coffee with the user defined amount of water into the cup;CoffeeLiquidManager;Controller;<<controller>>;Manages coffee (liquid state): brew() in B3a;;;;GroundCoffee;use;CoffeeLiquidManager uses GroundCoffee as input
B3a;B3a The system begins brewing coffee with the user defined amount of water into the cup;CoffeeLiquidManager;Controller;<<controller>>;Manages coffee (liquid state): brew() in B3a;;;;HotWater;use;CoffeeLiquidManager uses HotWater as input
B3a;B3a The system begins brewing coffee with the user defined amount of water into the cup;CoffeeLiquidManager;Controller;<<controller>>;Manages coffee (liquid state): brew() in B3a;;;;Filter;use;CoffeeLiquidManager uses Filter as input
B3a;B3a The system begins brewing coffee with the user defined amount of water into the cup;CoffeeLiquidManager;Controller;<<controller>>;Manages coffee (liquid state): brew() in B3a;;;;Coffee;provide;CoffeeLiquidManager produces Coffee as result
B3a;B3a The system begins brewing coffee with the user defined amount of water into the cup;CoffeeLiquidManager;Controller;<<controller>>;Manages coffee (liquid state): brew() in B3a;;;;Water;use;CoffeeLiquidManager uses Water as input
B3a;B3a The system begins brewing coffee with the user defined amount of water into the cup;UserDefinedAmountOfWater;Entity;<<entity>>;Domain entity: userdefinedamountofwater;;;;;;
B3a;B3a The system begins brewing coffee with the user defined amount of water into the cup;Water;Entity;<<entity>>;Domain entity: water;;;;;;
B3a;B3a The system begins brewing coffee with the user defined amount of water into the cup;Cup;Entity;<<entity>>;Domain entity: cup;;;;;;
B3a;B3a The system begins brewing coffee with the user defined amount of water into the cup;GroundCoffee;Entity;<<entity>>;Domain entity: groundcoffee;;;;;;
B3a;B3a The system begins brewing coffee with the user defined amount of water into the cup;HotWater;Entity;<<entity>>;Domain entity: hotwater;;;;;;
B3a;B3a The system begins brewing coffee with the user defined amount of water into the cup;Coffee;Entity;<<entity>>;Domain entity: coffee;;;;;;
B3b;B3b The system adds milk to the cup;MilkLiquidManager;Controller;<<controller>>;Manages milk (liquid state): add() in B3b;P3_START;parallel;Rule 5: parallel -> serial;;;
B3b;B3b The system adds milk to the cup;MilkLiquidManager;Controller;<<controller>>;Manages milk (liquid state): add() in B3b;;;;Cup;use;MilkLiquidManager uses Cup as target
B3b;B3b The system adds milk to the cup;MilkLiquidManager;Controller;<<controller>>;Manages milk (liquid state): add() in B3b;;;;Milk;use;MilkLiquidManager uses Milk as input
B3b;B3b The system adds milk to the cup;MilkLiquidManager;Controller;<<controller>>;Manages milk (liquid state): add() in B3b;;;;Coffee;use;MilkLiquidManager uses Coffee as input
B3b;B3b The system adds milk to the cup;MilkLiquidManager;Controller;<<controller>>;Manages milk (liquid state): add() in B3b;;;;Coffee;provide;MilkLiquidManager produces Coffee as result
B3b;B3b The system adds milk to the cup;Milk;Entity;<<entity>>;Domain entity: milk;;;;;;
B3b;B3b The system adds milk to the cup;Cup;Entity;<<entity>>;Domain entity: cup;;;;;;
B3b;B3b The system adds milk to the cup;Coffee;Entity;<<entity>>;Domain entity: coffee;;;;;;
P2_END;Parallel flow merge for B3a;P2_END;ControlFlowNode;<<merge>>;Merge node for parallel steps B3a;;;;;;
B4;B4 The system outputs a message to user;HMIManager;Controller;<<controller>>;Manages hmi transactions: output() in B4;P3_END;sequential;Rule 5 - Parallel to Serial Merge;;;
B4;B4 The system outputs a message to user;HMIManager;Controller;<<controller>>;Manages hmi transactions: output() in B4;MessageDisplayBoundary;activation;User-Interaction Boundary to HMI;;;
B4;B4 The system outputs a message to user;HMIManager;Controller;<<controller>>;Manages hmi transactions: output() in B4;;;;Message;use;HMIManager uses Message for transaction
B4;B4 The system outputs a message to user;Message;Entity;<<entity>>;Domain entity: message;;;;;;
B4;B4 The system outputs a message to user;MessageDisplayBoundary;Boundary;<<boundary>>;Boundary for displaying messages to user;User;transaction;Actor-Boundary interaction;;;
B5;B5 The system presents cup to user;CupManager;Controller;<<controller>>;Manages cup: present() in B5;HMIManager;activation;HMI to Material-Controller;;;
B5;B5 The system presents cup to user;CupManager;Controller;<<controller>>;Manages cup: present() in B5;;;;Cup;use;CupManager uses Cup for transaction
B5;B5 The system presents cup to user;Cup;Entity;<<entity>>;Domain entity: cup;;;;;;
B5;B5 The system presents cup to user;ProductDeliveryBoundary;Boundary;<<boundary>>;Boundary for delivering products to user;User;transaction;Actor-Boundary interaction;;;
A1.1;A1.1 The system switches off water heater;WaterLiquidManager;Controller;<<controller>>;Manages water (liquid state): heat() in A1.1;;;;;;
A1.2;A1.2 The system outputs an error message to user;HMIManager;Controller;<<controller>>;Manages hmi transactions: output() in A1.2;MessageDisplayBoundary;activation;User-Interaction Boundary to HMI;;;
A1.2;A1.2 The system outputs an error message to user;HMIManager;Controller;<<controller>>;Manages hmi transactions: output() in A1.2;;;;ErrorMessage;use;HMIManager uses ErrorMessage for transaction
A1.2;A1.2 The system outputs an error message to user;ErrorMessage;Entity;<<entity>>;Domain entity: errormessage;;;;;;
A1.2;A1.2 The system outputs an error message to user;MessageDisplayBoundary;Boundary;<<boundary>>;Boundary for displaying messages to user;User;transaction;Actor-Boundary interaction;;;
A2.1;A2.1 The system stops milk addition;MilkLiquidManager;Controller;<<controller>>;Manages milk (liquid state): stop() in A2.1;;;;;;
A2.2;A2.2 The system outputs an error message to user;HMIManager;Controller;<<controller>>;Manages hmi transactions: output() in A2.2;MessageDisplayBoundary;activation;User-Interaction Boundary to HMI;;;
A2.2;A2.2 The system outputs an error message to user;HMIManager;Controller;<<controller>>;Manages hmi transactions: output() in A2.2;;;;ErrorMessage;use;HMIManager uses ErrorMessage for transaction
A2.2;A2.2 The system outputs an error message to user;ErrorMessage;Entity;<<entity>>;Domain entity: errormessage;;;;;;
A2.2;A2.2 The system outputs an error message to user;MessageDisplayBoundary;Boundary;<<boundary>>;Boundary for displaying messages to user;User;transaction;Actor-Boundary interaction;;;
A3.1;A3.1 The system stops all actions;SystemControlManager;Controller;<<controller>>;Manages system control operations: stop() in A3.1;SystemControlManager;sequential;Rule 1 - Serial to Serial;;;
A3.2;A3.2 The system switches off itself;SystemControlManager;Controller;<<controller>>;Manages system control operations: switch() in A3.2;;;;;;
E1;E1 at B3-B5 (trigger) User wants sugar in coffee;SugarRequestBoundary;Boundary;<<boundary>>;Boundary for user sugar requests;User;signal;Actor-Boundary interaction;;;
E1.1;E1.1 The system adds user defined amount of sugar to the cup;SugarSolidManager;Controller;<<controller>>;Manages sugar (solid state): add() in E1.1;HMIManager;activation;Trigger to Action-Controller;;;
E1.1;E1.1 The system adds user defined amount of sugar to the cup;SugarSolidManager;Controller;<<controller>>;Manages sugar (solid state): add() in E1.1;;;;Sugar;use;SugarSolidManager uses Sugar as component
E1.1;E1.1 The system adds user defined amount of sugar to the cup;SugarSolidManager;Controller;<<controller>>;Manages sugar (solid state): add() in E1.1;;;;Cup;use;SugarSolidManager uses Cup as target
E1.1;E1.1 The system adds user defined amount of sugar to the cup;SugarSolidManager;Controller;<<controller>>;Manages sugar (solid state): add() in E1.1;;;;UserDefinedAmountOfSugar;use;SugarSolidManager uses UserDefinedAmountOfSugar as input
E1.1;E1.1 The system adds user defined amount of sugar to the cup;SugarSolidManager;Controller;<<controller>>;Manages sugar (solid state): add() in E1.1;;;;Coffee;use;SugarSolidManager uses Coffee as input
E1.1;E1.1 The system adds user defined amount of sugar to the cup;SugarSolidManager;Controller;<<controller>>;Manages sugar (solid state): add() in E1.1;;;;Coffee;provide;SugarSolidManager produces Coffee as result
E1.1;E1.1 The system adds user defined amount of sugar to the cup;UserDefinedAmountOfSugar;Entity;<<entity>>;Domain entity: userdefinedamountofsugar;;;;;;
E1.1;E1.1 The system adds user defined amount of sugar to the cup;Sugar;Entity;<<entity>>;Domain entity: sugar;;;;;;
E1.1;E1.1 The system adds user defined amount of sugar to the cup;Cup;Entity;<<entity>>;Domain entity: cup;;;;;;
E1.1;E1.1 The system adds user defined amount of sugar to the cup;Coffee;Entity;<<entity>>;Domain entity: coffee;;;;;;
